question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
What is Gardenal 60 Tablet used for?,,Gardenal 60 Tablet,,గార్డెనల్ ౬౦ మాత్ర యొక్క ఉపయోగం ఏమిటి?,,గార్డెనల్ ౬౦ మాత్ర,,গার্ডেনাল ৬০ ট্যাবলেট কিসের জন্য ব্যবহৃত হয়?,,গার্ডেনাল ৬০ ট্যাবলেট,,गार्डेनल ६० टैबलेट के लिए क्या प्रयोग किया जाता है?,,गार्डेनल ६० टैबलेट,,கார்டனல் 60 மாத்திரை எதற்காகப் பயன்படுத்தப்படுகிறது?,,கார்டனல் 60 மாத்திரை,,गार्डनल ६० टॅब्लेट चा वापर कशासाठी केला जातो?,,गार्डनल ६० टॅब्लेट,,ગાર્ડનલ ૬૦ ટીકડી નો ઉપયોગ શું છે?,,ગાર્ડનલ ૬૦ ટીકડી,,drug
"If your child is lactose intolerant, what are the other food sources for obtaining Vitamin D?",lactose intolerant,vitamin D,,"ఒకవేళ మీ బిడ్డ లాక్టోస్ అసహనంగా ఉన్నట్లయితే, విటమిన్ డి పొందడం కొరకు ఇతర ఆహార వనరులు ఏవి?",లాక్టోస్ అసహనం,విటమిన్ డి,,"যদি আপনার শিশু ল্যাকটোজ অসহিষ্ণু হয়, তাহলে ভিটামিন ডি-এর উৎস অন্যান্য খাবার কী কী?",ল্যাকটোজ অসহিষ্ণু,ভিটামিন ডি,,"यदि आपका बच्चा लैक्टोज असहिष्णु है, तो विटामिन डी प्राप्त करने के लिए अन्य खाद्य स्रोत क्या हैं?",लैक्टोज असहिष्णु,विटामिन डी,,"உங்கள் பிள்ளை லாக்டோஸ் சகிப்புத்தன்மையற்றவராக இருந்தால், வைட்டமின் டி பெறுவதற்கான பிற உணவு ஆதாரங்கள் யாவை?",லாக்டோஸ் சகிப்புத்தன்மையற்றவராக,வைட்டமின் டி,,"जर तुमचे मूल लैक्टोज असहिष्णु असेल, तर व्हिटॅमिन डी मिळवण्यासाठी इतर अन्न स्रोत कोणते आहेत?",लैक्टोज असहिष्णु,व्हिटॅमिन डी,,"જો તમારું બાળક લેક્ટોઝ અસહિષ્ણુ હોય, તો વિટામિન ડી મેળવવા માટેના અન્ય ખાદ્ય સ્ત્રોતો કયા છે?",લેક્ટોઝ અસહિષ્ણુ,વિટામિન ડી,,disease
Who is at maximum risk for Q fever?,Q fever,,,క్యూ జ్వరం వల్ల ఎవరు గరిష్ట ప్రమాదంలో ఉన్నారు?,క్యూ జ్వరం,,,কিউ ফিভারের জন্য কে সর্বোচ্চ ঝুঁকিতে রয়েছে?,কিউ ফিভার,,,Q बुखार के लिए अधिकतम जोखिम में कौन है?,क्यू बुखार,,,Q காய்ச்சலுக்கு அதிகபட்ச ஆபத்து யார்?,Q காய்ச்சலுக்கு,,,क्यू तापाचा सर्वाधिक धोका कोणाला आहे?,क्यू ताप,,,ક્યુ તાવ માટે કોને સૌથી વધુ જોખમ છે?,ક્યુ તાવ,,,disease
What should I do if I skip a dose of IT-Mac 100 Capsule?,,It-Mac 100 Capsule,,నేను ఐటి-మ్యాక్ ౧౦౦ క్యాప్సూల్ యొక్క మోతాదును దాటవేస్తే నేను ఏమి చేయాలి?,,ఐటి-మ్యాక్ ౧౦౦ క్యాప్సూల్,,ইট-ম্যাক ১০০ ক্যাপসুলের একটি ডোজ না নিতে পারলে আমার কি করা উচিত?,,ইটম্যাক ১০০,,यदि मैं आईटी-मैक १०० कैप्सूल (IT-Mac 100 Capsule) की एक खुराक छोड़ देता हूं तो मुझे क्या करना चाहिए?,,आईटी-मैक १०० कैप्सूल,,ஐடி-மேக் 100 காப்ஸ்யூலின் ஒரு அளவைத் தவிர்த்தால் நான் என்ன செய்ய வேண்டும்?,,ஐடி-மேக் 100 காப்ஸ்யூல்,,मी आयटी-मॅक १०० मिलीग्राम कॅप्सूल चा डोस वगळले तर काय करावे?,,आयटी-मॅक १०० मिलीग्राम कॅप्सूल,,જો હું આઇટી-મેક ૧૦૦ કેપ્સ્યુલ ની માત્રા છોડી દઉં તો મારે શું કરવું જોઈએ?,,આઇટી-મેક ૧૦૦ કેપ્સ્યુલ,,drug
How often should I check my blood glucose level?,,,blood glucose levels,నా రక్తంలో గ్లూకోజ్ స్థాయిని నేను ఎంత తరచుగా తనిఖీ చేయాలి?,,,రక్తంలో గ్లూకోజ్ స్థాయి,আমার রক্তে গ্লুকোজের মাত্রা কত ঘন ঘন পরীক্ষা করা উচিত?,,,রক্তে গ্লুকোজের মাত্রা,मुझे कितनी बार अपने रक्त शर्करा के स्तर की जांच करनी चाहिए?,,,रक्त शर्करा के स्तर की जांच,எனது இரத்த குளுக்கோஸ் அளவை எத்தனை முறை சரிபார்க்க வேண்டும்?,,,இரத்த குளுக்கோஸ் அளவை,मी माझ्या रक्तातील ग्लुकोजची पातळी किती वेळा तपासावी?,,,रक्तातील ग्लुकोजची पातळी,મારે મારા બ્લડ ગ્લુકોઝનું સ્તર કેટલી વાર તપાસવું જોઈએ?,,,બ્લડ ગ્લુકોઝના સ્તરો,treatment
Am I suffering from dengue or Zika?,"Dengue, Zika",,,నేను డెంగ్యూ లేదా జికాతో బాధపడుతున్నానా?,"డెంగ్యూ , జికా",,,আমি কি ডেঙ্গু বা জিকায় আক্রান্ত?,"ডেঙ্গু, জিকা",,,क्या मैं डेंगू या जीका से पीड़ित हूं?,"डेंगू , जीका",,,நான் டெங்கு அல்லது ஜிகாவால் பாதிக்கப்படுகிறேனா?,"டெங்கு, ஜிகாவால்",,,मी डेंग्यू किंवा झिका ग्रस्त आहे का?,"डेंग्यू, झिका",,,શું હું ડેન્ગ્યુ કે ઝિકાથી પીડિત છું?,"ડેન્ગ્યુ, ઝિકા",,,disease
What should I do if my child shows no improvement even after taking Oflox OZ Suspension for the prescribed duration?,,Oflox OZ Suspension,,సూచించిన వ్యవధిలో ఓఫ్లోక్స్ ఓజెడ్ సస్పెన్షన్  తీసుకున్న తర్వాత కూడా నా బిడ్డ ఎటువంటి మెరుగుదల చూపకపోతే నేను ఏమి చేయాలి?,,ఓఫ్లోక్స్ ఓజెడ్ సస్పెన్షన్,,নির্ধারিত সময়কালের জন্য অফলক্স ওজ় সাসপেনশন নেওয়ার পরেও যদি আমার সন্তানের কোন উন্নতি না হয় তবে আমার কী করা উচিত?,,অফলক্স ওজ়,,यदि ओफ्लोक्स ओज़ेड सस्पेंशन को निर्धारित अवधि के लिए लेने के बाद भी मेरा बच्चा कोई सुधार नहीं दिखाता है तो मुझे क्या करना चाहिए?,,ओफ्लोक्स ओज़ेड सस्पेंशन,,பரிந்துரைக்கப்பட்ட காலத்திற்கு ஆஃப்லாக்ஸ் ஓஸ் சஸ்பென்ஷனை எடுத்துக் கொண்ட பிறகும் எனது குழந்தை எந்த முன்னேற்றத்தையும் காட்டவில்லை என்றால் நான் என்ன செய்ய வேண்டும்?,,ஆஃப்லாக்ஸ் ஓஸ் சஸ்பென்ஷனை,,ओफ्लॉक्स ऑज़ सस्पेन्शन ने विहित कालावधीसाठी घेतल्यानंतरही माझ्या मुलामध्ये सुधारणा होत नसेल तर मी काय करावे?,,ओफ्लॉक्स ऑज़ सस्पेन्शन,,જો મારા બાળકને સૂચવેલ સમયગાળા માટે ઓફલોક્સ ઓઝેડ સસ્પેન્શન લીધા પછી પણ કોઈ સુધારો થતો નથી તો મારે શું કરવું જોઈએ?,,ઓફલોક્સ ઓઝેડ સસ્પેન્શન,,drug
Will I need joint replacement surgery if I have osteoarthritis?,osteoarthritis,,Joint Replacement Surgery,నాకు ఆస్టియో ఆర్థరైటిస్ ఉంటే కీళ్ల మార్పిడి శస్త్రచికిత్స అవసరమా?,ఆస్టియో ఆర్థరైటిస్,,కీళ్ల మార్పిడి శస్త్రచికిత్స,আমার যদি অস্টিওআর্থারাইটিস হয় তবে কি আমার জয়েন্ট রিপ্লেসমেন্ট সার্জারির প্রয়োজন?,অস্টিওআর্থারাইটিস,,জয়েন্ট রিপ্লেসমেন্ট সার্জারি,अगर मुझे ऑस्टियोआर्थराइटिस है तो क्या मुझे जॉइंट रिप्लेसमेंट सर्जरी की जरूरत होगी?,ऑस्टियोआर्थराइटिस,,जॉइंट रिप्लेसमेंट सर्जरी,எனக்கு கீல்வாதம் இருந்தால் எனக்கு கூட்டு மாற்று அறுவை சிகிச்சை தேவையா?,கீல்வாதம்,,கூட்டு மாற்று அறுவை சிகிச்சை,मला ऑस्टियोआर्थरायटिस असल्यास मला सांधे बदलण्याची शस्त्रक्रिया करावी लागेल का?,ऑस्टियोआर्थरायटिस,,सांधे बदलण्याची शस्त्रक्रिया,જો મને અસ્થિવા હોય તો શું મને જોઈન્ટ રિપ્લેસમેન્ટ સર્જરીની જરૂર પડશે?,અસ્થિવા,,જોઈન્ટ રિપ્લેસમેન્ટ સર્જરી,treatment
Is pneumonia contagious?,pneumonia,,,న్యుమోనియా అంటువ్యాదా?,న్యుమోనియా,,,নিউমোনিয়া কি সংক্রামক?,নিউমোনিয়া,,,क्या निमोनिया संक्रामक है?,निमोनिया,,,நிமோனியா தொற்றுநோயா?,நிமோனியா,,,निमोनिया संसर्गजन्य आहे का?,निमोनिया,,,શું ન્યુમોનિયા ચેપી છે?,ન્યુમોનિયા,,,disease
Can meningitis go away on its own?,meningitis,,,మెనింజైటిస్ దానంతట అదే తగ్గిపోతుందా?,మెనింజైటిస్,,,মেনিনজাইটিস কি নিজে নিজেই সেরে যেতে পারে?,মেনিনজাইটিস,,,क्या मेनिन्जाइटिस अपने आप दूर हो सकता है?,मेनिन्जाइटिस,,,மூளைக்காய்ச்சல் சொந்தமாக விலகிச் செல்ல முடியுமா?,மூளைக்காய்ச்சல்,,,मेंदुज्वर स्वतःच निघून जाऊ शकतो का?,मेंदुज्वर,,,શું મેનિન્જાઇટિસ તેના પોતાના પર દૂર થઈ શકે છે?,મેનિન્જાઇટિસ,,,disease
Can we eat bananas in acidity?,acidity,,,ఎసిడిటీలో మనం అరటిపండ్లను తినవచ్చా?,ఎసిడిటీ,,,আমরা কি অম্লতায় কলা খেতে পারি?,অম্লতা,,,क्या एसिडिटी में केला खा सकते हैं?,पेट में गैस,,,அமிலத்தன்மையில் வாழைப்பழங்களை நாம் சாப்பிடலாமா?,அமிலத்தன்மையில்,,,आम्लतामध्ये केळी खाऊ शकतो का?,आम्लता,,,શું એસિડિટીમાં કેળા ખાઈ શકીએ?,એસિડિટીમાં,,,disease
How is Lasix Injection different from Torasemide?,,"Lasix Injection, Torasemide",,లశిక్ష్ ఇంజెక్షన్ టొరాసెమైడ్ కంటే ఏవిధంగా విభిన్నంగా ఉంటుంది?,,"లశిక్ష్ ఇంజెక్షన్, టొరాసెమైడ్",,ল্যাসিক্স ইনজেকশন কিভাবে টোরাসেমিডে থেকে আলাদা?,,"ল্যাসিক্স ইনজেকশন, টোরাসেমিডে ",,लासिक्स इंजेक्शन टोरासेमाइड से कैसे अलग है?,,"लासिक्स इंजेक्शन,  टोरासेमाइड",,டோராசெமைட்டிலிருந்து லாசிக்ஸ் ஊசி எவ்வாறு வேறுபடுகிறது?,,"டோராசெமைட்டிலிருந்து, லாசிக்ஸ் ஊசி",,"लॅक्सिक्स इंजेक्शन,टोरासाइमाइड पेक्षा वेगळे कसे आहे?",,"लॅक्सिक्स इंजेक्शन,टोरासाइमाइड",,લાસિક્સ ઇન્જેક્શન ટોરાસેમાઇડ થી કેવી રીતે અલગ છે?,,"લાસિક્સ ઇન્જેક્શન, ટોરાસેમાઇડ",,drug
Is Indocap SR Capsule an antibiotic or steroid?,,Indocap SR Capsule,,ఇండోకాప్ ఎస్ఆర్ క్యాప్సూల్ యాంటీబయాటిక్ లేదా స్టెరాయిడ్ ఆ?,,ఇండోకాప్ ఎస్ఆర్ క్యాప్సూల్,,ইন্দক্যাপ এসআর ক্যাপসুল কি একটি এন্টিবায়োটিক নাকি স্টেরয়েড?,,ইন্দক্যাপ এসআর,,इंडोकैप एसआर कैप्सूल एक एंटीबायोटिक या स्टेरॉयड है?,,इंडोकैप एसआर कैप्सूल,,இந்தோகாப் எஸ்ஆர் காப்ஸ்யூல் ஒரு ஆண்டிபயாடிக் அல்லது ஸ்டீராய்டு?,,இந்தோகாப் எஸ்ஆர் காப்ஸ்யூல்,,इंडोकॅप एसआर कॅप्सूल हे प्रतिजैविक किंवा स्टिरॉइड आहे का?,,इंडोकॅप एसआर कॅप्सूल,,શું ઈન્ડોકેપ એસઆર કેપ્સ્યુલ એ એન્ટિબાયોટિક કે સ્ટેરોઇડ છે?,,ઈન્ડોકેપ એસઆર કેપ્સ્યુલ,,drug
How to overcome morning sickness in pregnancy?,"morning sickness, pregnancy",,,గర్భధారణ సమయంలో ఉదయపు అనారోగ్యాన్ని ఎలా అధిగమించాలి?,"ఉదయపు అనారోగ్యం, గర్భధారణ",,,গর্ভাবস্থায় মর্ণিং সিকনেস কাটিয়ে ওঠার উপায় কী?,"মর্ণিং সিকনেস, গর্ভাবস্থা",,,गर्भावस्था में सुबह की बीमारी को कैसे दूर करें?,"मॉर्निंग सिकनेस, गर्भावस्था",,,கர்ப்ப காலத்தில் காலை சுகவீனத்தை சமாளிப்பது எப்படி?,"கர்ப்ப, காலை சுகவீனத்தை",,,गरोदरपणात सकाळच्या आजारावर मात कशी करावी?,"गरोदरपण, सकाळचा आजार",,,ગર્ભાવસ્થા દરમિયાન સવારની માંદગી કેવી રીતે દૂર કરવી?,"સવારની માંદગી, ગર્ભાવસ્થા",,,disease
Does Hyponat-O 15 Tablet affect the sugar levels in blood?,sugar level,Hyponet-O 15 Tablet,,హైపోనట్-ఓ ౧౫ మాత్ర రక్తంలో చక్కెర స్థాయిలను ప్రభావితం చేస్తుందా?,చక్కెర స్థాయి,హైపోనట్-ఓ ౧౫,,হাইপোনাট-ও ১৫ কি রক্তে শর্করার মাত্রা প্রভাবিত করে?,রক্তে শর্করার মাত্রা,হাইপোনাটও ১৫,,क्या हाइपोनेट-ओ १५ टैबलेट (Hyponat-O 15 Tablet) रक्त में शर्करा के स्तर को प्रभावित करता है?,रक्त में शर्करा,हाइपोनेट-ओ १५ टैबलेट,,ஹைபோனாட்-ஓ 15 டேப்லெட் இரத்தத்தில் சர்க்கரை அளவை பாதிக்கிறதா?,சர்க்கரை அளவை,ஹைபோனாட்-ஓ 15 டேப்லெட்,,हिपोनट -ओ १५  टॅबलेट चा रक्तातील साखरेच्या पातळीवर परिणाम होतो का?,साखरेच्या पातळी,हिपोनट -ओ १५ टॅबलेट,,શું હાયપોનેટ-ઓ ૧૫ ટીકડી રક્તમાં ખાંડના સ્તરને અસર કરે છે?,ખાંડના સ્તર,હાયપોનેટ-ઓ ૧૫ ટીકડી,,drug
Which specialist should I take my child to for rickets treatment?,rickets,,,రికెట్స్ చికిత్స కోసం నేను నా బిడ్డను ఏ నిపుణుడి వద్దకు తీసుకెళ్లాలి?,రికెట్స్,,,রিকেটস চিকিৎসার জন্য আমার বাচ্চাকে কোন বিশেষজ্ঞের কাছে নিয়ে যাওয়া উচিত?,রিকেটস,,,मुझे अपने बच्चे को रिकेट्स के इलाज के लिए किस विशेषज्ञ के पास ले जाना चाहिए?,रिकेट्स,,,ரிக்கெட் சிகிச்சைக்காக எனது குழந்தையை எந்த நிபுணரை நான் அழைத்துச் செல்ல வேண்டும்?,ரிக்கெட்,,,मुडदूसच्या उपचारांसाठी मी माझ्या मुलाला कोणत्या तज्ञाकडे नेले पाहिजे?,मुडदूस,,,રિકેટ્સની સારવાર માટે મારે મારા બાળકને કયા નિષ્ણાત પાસે લઈ જવું જોઈએ?,રિકેટ્સ,,,treatment
How long does it take for PAN 40 Tablet to work?,,Pan 40 Tablet,,పాన్ ౪౦ మాత్ర  పనిచేయడానికి ఎంత సమయం పడుతుంది?,,పాన్ ౪౦ మాత్ర,,প্যান ৪০ ট্যাবলেটের কাজ করতে কতক্ষণ সময় লাগে?,,প্যান ৪০ ট্যাবলেট,,पैन ४० टैबलेट को काम करने में कितना समय लगता है?,,पैन ४० टैबलेट,,பான் 40 மாத்திரை வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,பான் 40 மாத்திரை ,,पॅन ४० टॅब्लेट काम करण्यासाठी किती वेळ लागतो?,,पॅन ४० टॅब्लेट,,પીએએન ૪૦ ટીકડી ને કામ કરવામાં કેટલો સમય લાગે છે?,,પીએએન ૪૦ ટીકડી,,drug
What acidity does to your body?,acidity,,,మీ శరీరానికి ఎసిడిటీ ఏమి చేస్తుంది?,ఎసిడిటీ,,,অম্লতা আপনার শরীরে কী করে?,অম্লতা,,,आपके शरीर में कौन सी अम्लता होती है?,पेट में गैस,,,உங்கள் உடலுக்கு என்ன அமிலத்தன்மை செய்கிறது?,அமிலத்தன்மை,,,तुमच्या शरीरावर आम्लता काय परिणाम करते?,आम्लता,,,એસિડિટી તમારા શરીરને શું અસર કરે છે?,એસિડિટી,,,disease
How and in what dose should I take Cabgolin 0.5 Tablet?,,Cabgolin 0.5 Tablet,,కాబ్గోలిన్ ౦.౫ మాత్రను  ఎలా మరియు ఏ మోతాదులో తీసుకోవాలి?,,కాబ్గోలిన్ ౦.౫ మాత్ర,,ক্যাবগোলিন ০.৫ ট্যাবলেট কিভাবে এবং কী ডোজে গ্রহণ করা উচিত?,,ক্যাবগোলিন ০.৫,,मुझे कैसे और कितनी खुराक में कैबगोलिन ०.५ टैबलेट (Cabgolin 0.5 Tablet) लेना चाहिए?,,कैबगोलिन ०.५ टैबलेट,,"நான் எப்படி, எந்த அளவில் கேப்கோலின் 0.5 மாத்திரையை எடுக்க வேண்டும்?",,கேப்கோலின் 0.5 மாத்திரையை,,मी कॅबोलिन ०.५  टॅब्लेट कसे आणि किती मात्रेस घ्यावे?,,कॅबोलिन ०.५ टॅब्लेट,,કેબગોલિન ૦.૫ ટીકડી કેવી રીતે અને કઈ માત્રામાં લેવી?,,કેબગોલિન ૦.૫ ટીકડી,,drug
Where do you inject HUCOG 5000 HP Injection?,,Hucog 5000 Hp Injection,,మీరు హ్యూకోగ్ ౫౦౦౦ హెచ్‌పి ఇంజెక్షన్‌ను ఎక్కడ ఇంజెక్ట్ చేస్తారు?,,హ్యూకోగ్ ౫౦౦౦ హెచ్‌పి ఇంజెక్షన్‌,,এইচইউসিওজি ৫০০০ এইচপি ইঞ্জেকশন কোথায় ইনজেক্ট করবেন?,,এইচইউসিওজি ৫০০০ এইচপি ইঞ্জেকশন,,आप हुकोग ५००० एचपी इंजेक्शन कहाँ लगाते हैं?,,हुकोग ५००० एचपी इंजेक्शन,,ஹுகாக் 5000 ஹெச்பி ஊசி எங்கே?,,ஹுகாக் 5000 ஹெச்பி ஊசி,,तुम्ही हुकोग ५००० एचपी इंजेक्शन कुठे देता?,,हुकोग 	५००० एचपी इंजेक्शन,,તમે એચયુસીઓજી ૫૦૦૦ એચપી ઇન્જેક્શન ક્યાં ઇન્જેક્ટ કરો છો?,,એચયુસીઓજી ૫૦૦૦ એચપી ઇન્જેક્શન,,drug
For how long should I continue Teczine Tablet?,,Teczine Tablet,,నేను టెక్జైన్ మాత్రను  ఎంతకాలం కొనసాగించాలి?,,టెక్జైన్ మాత్ర,,টেকজ়িন ট্যাবলেট কতদিন চালিয়ে যাওয়া উচিত?,,টেকজ়িন ট্যাবলেট,,मुझे कितने समय तक टेक्ज़ाइन टैबलेट जारी रखना चाहिए?,,टेक्ज़ाइन टैबलेट,,டெசின் மாத்திரையை நான் எவ்வளவு காலம் தொடர வேண்டும்?,,டெசின் மாத்திரையை ,,मी किती काळ टेकझिन टॅब्लेट चालू ठेवावे?,,टेकझिन टॅब्लेट,,મારે કેટલા સમય સુધી ટેકઝીન ટીકડી ચાલુ રાખવું જોઈએ?,,ટેકઝીન ટીકડી,,drug
Can any type of laxative be used for Crohn's disease?,crohn's disease,laxative,,క్రోన్స్ వ్యాధికి ఏ రకమైన భేదిమందు ఉపయోగించవచ్చా?,క్రోన్స్ వ్యాధి,భేదిమందు,,ক্রোন রোগের জন্য কি কোনও ধরণের রেচক ব্যবহার করা যেতে পারে?,ক্রোন রোগ,রেচক,,क्या क्रोहन रोग के लिए किसी भी प्रकार के रेचक का प्रयोग किया जा सकता है?,क्रोहन रोग,रेचक,,க்ரோன் நோய்க்கு ஏதேனும் ஒரு மலமிளக்கியைப் பயன்படுத்த முடியுமா?,க்ரோன் நோய்,மலமிளக்கியைப்,,क्रोहन रोगासाठी कोणत्याही प्रकारचे रेचक वापरले जाऊ शकते का?,क्रोहन रोग,रेचक,,શું ક્રોહન રોગ માટે કોઈપણ પ્રકારના રેચકનો ઉપયોગ કરી શકાય છે?,ક્રોહન રોગ,રેચક,,disease
Why is Q fever called Q fever?,Q fever,,,క్యూ జ్వరాన్ని క్యూ జ్వరం  అని ఎందుకు అంటారు?,క్యూ జ్వరం,,,কিঊ ফিভারকে কিউ ফিভার বলা হয় কেন?,কিউ ফিভার,,,क्यू बुखार को क्यू बुखार क्यों कहा जाता है?,क्यू बुखार,,,Q காய்ச்சல் ஏன் Q காய்ச்சல் என்று அழைக்கப்படுகிறது?,Q காய்ச்சல்,,,क्यू  तापाला क्यू ताप का म्हणतात?,क्यू ताप,,,ક્યુ તાવને ક્યુ તાવ શા માટે કહેવાય છે?,ક્યુ તાવ,,,disease
What if I forget to take a dose of Inderal 40 Tablet?,,Intral 40 Tablet,,నేను ఇందారల్ ౪౦ మాత్ర యొక్క మోతాదు తీసుకోవడం మర్చిపోతే ఏమిటి?,,ఇందారల్ ౪౦ మాత్ర,,ইন্ডেরাল ৪০ ট্যাবলেটের একটি ডোজ নিতে ভুলে গেলে কি হবে?,,ইন্ডেরাল ৪০ ট্যাবলেট,,अगर मैं इनडेरल ४० टैबलेट की एक खुराक लेना भूल जाऊं तो क्या होगा?,,इनडेरल ४० टैबलेट,,இன்டரல் 40 மாத்திரை அளவை எடுக்க மறந்துவிட்டால் என்ன செய்வது?,,இன்டரல் 40 மாத்திரை ,,इंदिरल  ४० गोळी चे डोस घ्यायला विसरले तर काय होईल?,,इंदिरल  ४० गोळी,,જો હું ઈન્ડરલ ૪૦ ટીકડી ની માત્રા લેવાનું ભૂલી જાવ તો શું થશે?,,ઈન્ડરલ ૪૦ ટીકડી,,drug
What is the storage condition for the Galvus Met 50mg/500mg Tablet?,,Galvus Mate 50mg/500 mg Tablet,,గాల్వుస్ మెట్ ౫౦మిగ్రా /౫౦౦మిగ్రా  మాత్ర యొక్క నిల్వ పరిస్థితి ఏమిటి?,,గాల్వుస్ మెట్,,গলভাস মেট ৫০ মিলিগ্রাম/৫০০ মিলিগ্রাম এর সংকক্ষণে কি ব্যবস্থা করতে হয়?,,গলভাস মেট ৫০ মিলিগ্রাম/৫০০ মিলিগ্রাম,,गैलवस मेट ५०एमजी/५०० एमजी टैबलेट (Galvus Met 50mg/500mg Tablet) के लिए भंडारण की स्थिति क्या है?,,गैलवस मेट ५०एमजी/५०० एमजी टैबलेट,,கால்வஸ் மெட் 50 மி.கி/500 மி.கி டேப்லெட்டுக்கான சேமிப்பக நிலை என்ன?,,கால்வஸ் மெட் 50 மி.கி/500 மி.கி டேப்லெட்டுக்கான ,,गॅल्वस मेट ५० एमजी / ५०० एमजी टॅब्लेट साठी स्टोरेज स्थिती काय आहे?,,गॅल्वस मेट 	५० एमजी / 	५०० एमजी टॅब्लेट,,ગેલ્વસ મેટ ૫૦ મિલિગ્રામ/૫૦૦ મિલિગ્રામ ટીકડી માટે સ્ટોરેજની સ્થિતિ શું છે?,,ગેલ્વસ મેટ ૫૦ મિલિગ્રામ/૫૦૦ મિલિગ્રામ ટીકડી,,drug
Can you feel lice crawling?,lice ,,,పేనులు ప్రాకుతున్నట్లుగా మీరు అనుభూతి చెందగలరా?,పేనులు ప్రాకుతున్నట్లు,,,আপনি কি উকুনের চলাফেরা অনুভব করতে পারেন?,উকুন,,,क्या आप जूँ रेंगते हुए महसूस कर सकते हैं?,जूँ,,,பேன் ஊர்ந்து செல்வதை நீங்கள் உணர முடியுமா?,பேன் ஊர்ந்து,,,तुम्हाला उवा रेंगाळल्यासारखे वाटत आहे का?,उवा रेंगाळणे,,,શું તમે જૂ રખડતા અનુભવી શકો છો?,જૂ રખડતા,,,other
Is ringworm contagious?,ringworm,,,రింగ్‌వార్మ్ అంటువ్యాదా?,రింగ్‌వార్మ్,,,রিংওয়ার্ম কি সংক্রামক?,রিংওয়ার্ম,,,क्या दाद संक्रामक है?,दाद,,,ரிங்வோர்ம் தொற்றுநோயா?,ரிங்வோர்ம்,,,दाद हा संसर्गजन्य आहे का?,दाद,,,શું રિંગવોર્મ ચેપી છે?,રિંગવોર્મ,,,disease
Can the use of Gabaneuron NT Tablet affect my sexual life?,,Gabaneuron Nt Tablet,,గబానెురోన్ ఎన్టి మాత్రల యొక్క ఉపయోగం నా లైంగిక జీవితాన్ని ప్రభావితం చేయగలదా?,,గబానెురోన్ ఎన్టి,,গাবানিউরন এনটি ট্যাবলেট ব্যবহার কি আমার যৌন জীবনকে প্রভাবিত করতে পারে?,,গাবানিউরন এনটি ট্যাবলেট,,क्या गाबान्यूरॉन एनटी टैबलेट (Gabaneuron NT Tablet) का प्रयोग मेरे यौन जीवन को प्रभावित कर सकता है?,,गाबान्यूरॉन एनटी टैबलेट,,கபனூரான் என்.டி டேப்லெட்டின் பயன்பாடு எனது பாலியல் வாழ்க்கையை பாதிக்க முடியுமா?,,கபனூரான் என்.டி டேப்லெட்டின்,,गॅबन्यूरॉन एनटी टॅब्लेट च्या वापरामुळे माझ्या लैंगिक जीवनावर परिणाम होऊ शकतो का?,,गॅबन्यूरॉन  एनटी टॅब्लेट,,શું ગેબન્યુરોન એનટી ટીકડી નો ઉપયોગ મારા જાતીય જીવન પર અસર કરી શકે છે?,,ગેબન્યુરોન એનટી ટીકડી,,drug
What are the instructions for storage and disposal of Pantop-D Capsule?,,Pantop-D Capsule,,పాంతోప్-డ్ క్యాప్సూల్ యొక్క నిల్వ మరియు పారవేయడం కొరకు సూచనలు ఏమిటి?,,పాంతోప్-డ్ క్యాప్సూల్,,প্যান্টোপ-ড ক্যাপসুলের সংরক্ষণ এবং নিষ্পত্তির জন্য নির্দেশাবলী কী?,,প্যান্টোপড ক্যাপসুল,,पैनटॉप-डी कैप्सूल के भंडारण और निपटान के लिए क्या निर्देश हैं?,,पैनटॉप-डी कैप्सूल,,பான்டோப்-டி காப்ஸ்யூலை சேமித்து அகற்றுவதற்கான வழிமுறைகள் யாவை?,,பான்டோப்-டி காப்ஸ்யூலை,,पँटॉप-डी कॅप्सूल च्या स्टोरेज आणि विल्हेवाटीसाठी काय सूचना आहेत?,,पँटॉप-डी कॅप्सूल,,પેન્ટોપ-ડી કેપ્સ્યુલ ના સંગ્રહ અને નિકાલ માટેની સૂચનાઓ શું છે?,,પેન્ટોપ-ડી કેપ્સ્યુલ,,drug
What causes urticaria?,urticaria,,,ఉర్టికేరియాకు కారణమేమిటి?,ఉర్టికేరియా,,,আমবাতের কারণ কী?,আমবাত,,,पित्ती का कारण क्या है?,पित्ती,,,யூர்டிகேரியாவுக்கு என்ன காரணம்?,யூர்டிகேரியாவுக்கு ,,,अर्टिकेरिया कशामुळे होतो?,अर्टिकेरिया,,,અિટકૅરીયાનું કારણ શું છે?,અિટકૅરીયા,,,disease
