question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
will health insurance through the marketplace cover genetic testing for breast cancer?,Breast cancer,,genetic testing,क्या बाज़ार के माध्यम से स्वास्थ्य बीमा स्तन कैंसर के आनुवंशिक परीक्षण को कवर करेगा?,स्तन कैंसर,,आनुवंशिक परीक्षण,স্তন ক্যান্সারের জন্য জেনেটিক পরীক্ষা কি বাজারের মাধ্যমে স্বাস্থ্য বীমার আওতায় আসবে?,স্তন ক্যান্সার,,জেনেটিক পরীক্ষা,சந்தை மூலம் சுகாதார காப்பீடு மார்பக புற்றுநோய்க்கான மரபணு பரிசோதனையை உள்ளடக்கும்?,மார்பக புற்றுநோய்,,மரபணு பரிசோதனையை,రొమ్ము క్యాన్సర్ కోసం జన్యు పరీక్షను మార్కెట్‌ప్లేస్ ద్వారా ఆరోగ్య బీమా కవర్ చేస్తుందా?,రొమ్ము క్యాన్సర్,,జన్యు పరీక్ష,मार्केटप्लेसद्वारे आरोग्य विमा स्तनाच्या कर्करोगासाठी अनुवांशिक चाचणीचा समावेश करेल?,स्तनाचा  कर्करोग,,अनुवांशिक चाचणी,શું માર્કેટપ્લેસ દ્વારા આરોગ્ય વીમો સ્તન કેન્સર માટે આનુવંશિક પરીક્ષણને આવરી લેશે?,સ્તન નો રોગ,,આનુવંશિક પરીક્ષણ,other
do pregnant people ovulate at all?,pregnant,,,क्या गर्भवती लोग बिल्कुल भी ओव्यूलेट करते हैं?,गर्भवती ,,,গর্ভবতীরা কি আদৌ ডিম্বস্ফোটন করেন?,গর্ভবতী,,,கர்ப்பிணி மக்கள் அண்டவிடுப்பார்களா?,கர்ப்பிணி,,,గర్భిణీలు అస్సలు అండోత్సర్గము చేస్తారా?,గర్భిణీ,,,गरोदर लोक अजिबात ओव्हुलेशन करतात का?,गरोदर,,,શું સગર્ભા લોકો બિલકુલ ઓવ્યુલેટ કરે છે?,,,,other
genital herpes can it spread from drinking from other people drinking cups,genital herpes,,,जननांग दाद यह अन्य लोगों के कप पीने से फैल सकता है,जननांग दाद,,,জেনিটাল হারপিস কাপ পান করা অন্যান্য লোকদের কাছ থেকে পানীয় থেকে ছড়িয়ে পড়তে পারে?,জেনিটাল হারপিস,,,பிறப்புறுப்பு ஹெர்பெஸ் குடிக்கும் கப் குடிப்பதால் மற்றவர்களிடமிருந்து  இருந்து பரவ முடியுமா?,பிறப்புறுப்பு ஹெர்பெஸ்,,,జననేంద్రియపు హెర్పెస్ ఇతర వ్యక్తులు కప్పులు తాగడం వల్ల వ్యాపిస్తుందా?,జననేంద్రియపు హెర్పెస్,,,जननेंद्रियाच्या नागीण इतर लोकांच्या कप पिण्यामुळे पसरू शकतात,जननेंद्रियाच्या नागीण,,,જનનેન્દ્રિય હર્પીસ તે અન્ય લોકો દ્વારા પીવાના કપ પીવાથી ફેલાય છે,જીની હર્પીસ,,,disease
what is an occipital nerve block? . what steriod is commonly used in the injection?,occipital nerve block,steroid,,एक पश्चकपाल तंत्रिका ब्लॉक क्या है? | आमतौर पर इंजेक्शन में क्या स्टीरियोड का उपयोग किया जाता है?,पश्चकपाल तंत्रिका ब्लॉक,स्टेरॉयड,,অক্কিপিটাল নার্ভ ব্লক কি? । ইনজেকশনে সাধারণত কোন স্টেরিওড ব্যবহার করা হয়?,অক্কিপিটাল নার্ভ ব্লক,স্টেরিওড,,ஆக்ஸிபிடல் நரம்புத் தொகுதி என்றால் என்ன? . ஊசியில் பொதுவாக என்ன ஸ்டீரியோட் பயன்படுத்தப்படுகிறது?,ஆக்ஸிபிடல் நரம்புத் தொகுதி,ஸ்டீரியோட்,,ఆక్సిపిటల్ నరాల నిరోదం అంటే ఏమిటి? ఇంజెక్షన్ లో సాధారణంగా ఏ స్టెరియోడ్ ఉపయోగించబడుతుంది?,ఆక్సిపిటల్ నరాల నిరోదం,స్టెరియోడ్,,ओसीपीटल नर्व ब्लॉक म्हणजे काय? . इंजेक्शनमध्ये सामान्यतः कोणते स्टिरॉइड वापरले जाते?,ओसीपीटल नर्व ब्लॉक,स्टिरॉइड,,ઓસિપિટલ નર્વ બ્લોક શું છે? . સામાન્ય રીતે ઈન્જેક્શનમાં કયા સ્ટીરિયોડનો ઉપયોગ થાય છે?,,,ઓસિપિટલ નર્વ બ્લોક,treatment plan
how do i get my questions public,,,,मैं अपने प्रश्नों को सार्वजनिक कैसे करूं,,,,আমি কিভাবে আমার প্রশ্নগুলি জনসমক্ষে প্রকাশ করব?,,,,எனது கேள்விகளை நான் எவ்வாறு பொதுவில் பெறுவது?,,,,నా ప్రశ్నలను నేను ఎలా పబ్లిక్ గా పొందగలను?,,,,मी माझे प्रश्न सार्वजनिक कसे करू,,,,હું મારા પ્રશ્નોને કેવી રીતે જાહેર કરી શકું,,,,other
can bactrim cause a false positive for benzodiazapham on a drug test,,"Bactrim, Benzodiazepham",drug test,क्या बैकट्रिम एक दवा परीक्षण पर बेंजोडायजाफाम के लिए एक झूठी सकारात्मक कारण बन सकता है?,,"बैकट्रिम, बेंजोडायजाफाम",दवा परिक्षण ,ব্যাকট্রিম কি একটি ড্রাগ পরীক্ষায় বেনজোডিয়াজাফামের জন্য একটি ফল্‌স পজিটিভের কারণ হতে পারে?,,"ব্যাকট্রিম, বেনজোডিয়াজাফামের",ড্রাগ পরীক্ষা,பாக்ட்ரிம் ஒரு மருந்து சோதனையில் பென்சோடியாசபத்திற்கு ஒரு தவறான நேர்மறையை ஏற்படுத்துமா,,"பாக்ட்ரிம், பென்சோடியாசெபைன்",மருந்து பரிசோதனையில்,ఔషధ పరీక్షలో బెంజోడియాజఫామ్‌కు బాక్ట్రిమ్ తప్పుడు పాజిటివ్‌ను కలిగిస్తుందా?,,"బాక్ట్రిమ్, బెంజోడియాజఫామ్‌",ఔషధ పరీక్ష,बॅक्ट्रिममुळे औषध चाचणीत बेंझोडायझाफामसाठी खोटे पॉझिटिव्ह येऊ शकते,,"बॅक्ट्रिम ,बेंझोडायझाफाम",औषध चाचणी,બેક્ટ્રિમ ડ્રગ ટેસ્ટ પર બેન્ઝોડિયાઝાફામ માટે ખોટા હકારાત્મક કારણ બની શકે છે,,"બેક્ટ્રિમ, બેન્ઝોડિએઝેફામ",,drug
will radiation therapy cause my hair to fall out?,,,radiation therapy,क्या विकिरण चिकित्सा मेरे बालों को बाहर गिरने का कारण होगा?,,,विकिरण चिकित्सा,রেডিয়েশন থেরাপি কি আমার চুল পড়ে যাওয়ার কারণ হবে?,,,রেডিয়েশন থেরাপি,கதிர்வீச்சு சிகிச்சையால் என் தலைமுடி விழ காரணமாகுமா?,,,கதிர்வீச்சு சிகிச்சை,రేడియేషన్ థెరపీ వల్ల నా జుట్టు రాలిపోతుందా?,,,రేడియేషన్ థెరపీ,रेडिएशन थेरपीमुळे माझे केस गळतील का?,,,रेडिएशन थेरपी,શું રેડિયેશન થેરાપીથી મારા વાળ ખરશે?,,,રેડિયેશન ઉપચાર,treatment plan
what ingredients should you avoid in your makeup if you have sensitive skin?,sensitive skin,,,यदि आपके पास संवेदनशील त्वचा है तो आपको अपने मेकअप में किन सामग्रियों से बचना चाहिए?,संवेदनशील त्वचा,,,আপনার যদি সংবেদনশীল ত্বক থাকে তবে আপনার মেকআপে কোন উপাদানগুলি এড়ানো উচিত?,সংবেদনশীল ত্বক,,,நீங்கள் உணர்திறன் வாய்ந்த தோல் இருந்தால் உங்கள் ஒப்பனையில் என்னென்ன பொருட்களைத் தவிர்க்க வேண்டும்?,உணர்திறன் வாய்ந்த தோல்,,,మీకు సున్నితమైన చర్మం ఉన్నట్లయితే మీ మేకప్‌లో ఏ పదార్థాలను నివారించాలి?,సున్నితమైన చర్మం,,,तुमची त्वचा संवेदनशील असल्यास मेकअपमध्ये कोणते घटक टाळावेत?,संवेदनशील त्वचा ,,,જો તમારી ત્વચા સંવેદનશીલ હોય તો તમારે તમારા મેકઅપમાં કયા ઘટકો ટાળવા જોઈએ?,,,,other
does hyzaar or lisinopril have snake venom in the ingredients?,snake venom,"Hyzar, Lisinopril",,क्या हाइज़ार या लिसिनोप्रिल के सामग्री में सांप का जहर होता है?,सांप का जहर,"हाइज़ार, लिसिनोप्रिल",,হাইজার বা লিসিনোপ্রিলের উপাদানগুলিতে কি সাপের বিষ রয়েছে?,সাপের বিষ,"হাইজার, লিসিনোপ্রিল",,ஹைசார் அல்லது லிசினோபிரில் பொருட்களில் பாம்பு விஷம் உள்ளதா?,பாம்பு விஷம்,"ஹைசார், லிசினோபிரில்",,హైజార్ లేదా లిసినోప్రిల్ పదార్ధాలలో పాము విషం ఉందా?,పాము విషం,"హైజార్ , లిసినోప్రిల్",,हायझार किंवा लिसिनोप्रिलच्या घटकांमध्ये सापाचे विष असते का?,सापाचे विष,"हायझार , लिसिनोप्रिल",,શું હાયઝાર અથવા લિસિનોપ્રિલના ઘટકોમાં સાપનું ઝેર છે?,સાપનું ઝેર,"હાયઝર, લિસિનોપ્રિલ",,drug
is rosiola a type of molluscum?,"Rasiola, Molluscum",,,क्या रसियोला एक प्रकार का मोलस्कम है?,"रसियोला,मोलस्कम",,,রোজিওলা কি এক ধরনের মলাস্কোম?,"রোজিওলা, মলাস্কোম",,,ரோசியோலா ஒரு வகை மெல்லுடலியா?,"ரோசியோலா, மெல்லுடலியா",,,రోసియోలా ఒక రకమైన మొలస్కమా?,"రోసియోలా, మొలస్కమ",,,रोसिओला हा मोलस्कमचा एक प्रकार आहे का?,"रोसिओला,मोलस्कम",,,શું રોઝીઓલા મોલસ્કમનો એક પ્રકાર છે?,"રસિયોલા, મોલસ્કમ",,,disease
can you donate organs if you have a tattoo?,,,,यदि आपके पास टैटू है तो क्या आप अंगदान कर सकते हैं?,,,,আপনার উলকি থাকলে আপনি অঙ্গ দান করতে পারেন?,,,,நீங்கள் பச்சை குத்திக் கொண்டால் உடல் உறுப்புகளை தானம் செய்ய முடியுமா?,,,,మీకు పచ్చబొట్టు ఉంటే మీరు అవయవాలను దానం చేయగలరా?,,,,टॅटू असल्यास तुम्ही अवयव दान करू शकता का?,,,,જો તમારી પાસે ટેટૂ હોય તો શું તમે અંગોનું દાન કરી શકો છો?,,,,other
"what does ""half-life"" mean for a drug?",,,,"एक दवा के लिए ""हाफ लाइफ"" का क्या मतलब है?",,,,"একটি ড্রাগের ""অর্ধ জীবন"" মানে কি?",,,,அரை ஆயுள் ஒரு மருந்துக்கு என்ன அர்த்தம்?,,,,"ఒక ఔషధానికి ""అర్ధ-జీవితం"" అంటే ఏమిటి?",,,,"औषधासाठी ""अर्ध-जीवन"" म्हणजे काय?",,,,"દવા માટે ""અર્ધ જીવન"" નો અર્થ શું છે?",,,,other
what does the platinum health insurance plan cover?,,,,प्लैटिनम स्वास्थ्य बीमा योजना क्या कवर करती है?,,,,প্ল্যাটিনাম স্বাস্থ্য বীমা পরিকল্পনাটি কি কি সুবিধা দেয় ?,,,,பிளாட்டினம் சுகாதார காப்பீட்டுத் திட்டம் எதை உள்ளடக்கியது?,,,,ప్లాటినం ఆరోగ్య బీమా పథకం దేనిని కవర్ చేస్తుంది?,,,,प्लॅटिनम आरोग्य विमा योजना काय कव्हर करते?,,,,પ્લેટિનમ સ્વાસ્થ્ય વીમા યોજના શું આવરી લે છે?,,,,other
can someone have schizophrenia and be bi-polar as well?,"schizophrenia, bi-polar",,,क्या किसी को सिज़ोफ्रेनिया हो सकता है और वह द्वि-ध्रुवीय भी हो सकता है?,"सिज़ोफ्रेनिया, द्वि-ध्रुवीय",,,কারও কি সিজোফ্রেনিয়া এবং বাই-পোলার দুটোই হতে পারে?,"সিজোফ্রেনিয়া, বাই-পোলার",,,யாராவது ஸ்கிசோஃப்ரினியாவைக் கொண்டிருக்க முடியுமா மற்றும் இருமுனை குணம் உடையவராக இருக்க முடியுமா?,"ஸ்கிசோஃப்ரினியாவைக், இருமுனை",,,ఎవరైనా స్కిజోఫ్రెనియాని కలిగి ఉంటూ ద్వి-ధ్రువంగా కూడా ఉండగలరా?,"స్కిజోఫ్రెనియా, ద్వి-ధ్రువం",,,एखाद्याला स्किझोफ्रेनिया आहे आणि तो द्विध्रुवीय देखील असू शकतो का?,"स्किझोफ्रेनिया, द्विध्रुवीय",,,શું કોઈને સ્કિઝોફ્રેનિયા હોઈ શકે છે અને તે દ્વિ-ધ્રુવીય પણ હોઈ શકે છે?,"સ્કિઝોફ્રેનિઆ, દ્વિ-ધ્રુવીય",,,disease
does your hair grow thicker while you are pregnant?,pregnant,,,क्या आपके बाल गर्भवती होने के दौरान मोटे हो जाते हैं?,गर्भवती,,,আপনি গর্ভবতী হওয়ার সময় আপনার চুল কি আরও ঘন হয়ে যায়?,গর্ভবতী,,,நீங்கள் கர்ப்பமாக இருக்கும்போது உங்கள் தலைமுடி அடர்த்தியாக வளர்கிறதா?,கர்ப்பமாக ,,,మీరు గర్భవతిగా ఉన్నప్పుడు మీ జుట్టు మందంగా పెరుగుతుందా?,గర్భవతి,,,तुम्ही गरोदर असताना तुमचे केस दाट होतात का?,गरोदर,,,શું તમે ગર્ભવતી હો ત્યારે તમારા વાળ ઘટ્ટ થાય છે?,ગર્ભવતી,,,other
will doxycycline hyclate make me fail a urine test,,doxycycline haclatae,urine test,क्या डॉक्सीसाइक्लिन हैक्लाटे मुझे एक मूत्र में परीक्षण विफल कर देगा ?,,डॉक्सीसाइक्लिन हैक्लाटे,मूत्र परीक्षण,ডক্সিসাইক্লিন হাইক্লেট কি আমার প্রস্রাব পরীক্ষায় নেগেটিভ ফল দেবে?,,ডক্সিসাইক্লিন হাইক্লেট,প্রস্রাব পরীক্ষায়,டாக்ஸிசைக்ளின் ஹைக்லேட் என்னை சிறுநீர் பரிசோதனையில் தோல்வியடையச் செய்யுமா?,,டாக்ஸிசைக்ளின் ஹைக்லேட்,சிறுநீர் பரிசோதனையில்,డాక్సీసైక్లిన్ హైక్లేట్ నన్ను మూత్ర పరీక్షలో విఫలం చేస్తుందా?,,డాక్సీసైక్లిన్ హైక్లేట్,మూత్ర పరీక్ష,डॉक्सीसाइक्लिन हायक्लेट मला लघवीची चाचणी अयशस्वी करेल का?,,डॉक्सीसाइक्लिन हायक्लेट लघवीची चाचणी,,શું ડોક્સીસાયક્લાઇન હાઇકલેટ મને પેશાબની તપાસમાં નિષ્ફળ બનાવશે?,,ડોક્સીસાયક્લાઇન હાઇકલેટ,પેશાબ પરીક્ષણ,drug
what happens if you drink water a few hours before surgery?,,,surgery,क्या होता है यदि आप सर्जरी से कुछ घंटे पहले पानी पीते हैं?,,,शल्य चिकित्सा,অস্ত্রোপচারের কয়েক ঘন্টা আগে আপনি যদি জল পান করেন তবে কী হবে?,,,অস্ত্রোপচারের,அறுவைசிகிச்சைக்கு சில மணிநேரங்களுக்கு முன்பு நீங்கள் தண்ணீர் குடித்தால் என்ன ஆகும்?,,,அறுவைசிகிச்சைக்கு ,శస్త్రచికిత్సకు కొన్ని గంటల ముందు మీరు నీరు తాగితే ఏమి జరుగుతుంది?,,,శస్త్రచికిత్స,शस्त्रक्रियेच्या काही तास आधी तुम्ही पाणी प्यायल्यास काय होईल?,,,शस्त्रक्रिया,જો તમે સર્જરીના થોડા કલાકો પહેલાં પાણી પીશો તો શું થશે?,,,શસ્ત્રક્રિયા,treatment plan
what is the differnce between an ovarian cyst and tumor,"Ovarian cyst , Tumor",,,एक डिम्बग्रंथि पुटी और ट्यूमर के बीच अंतर क्या है,"डिंबग्रंथि पुटी , ट्यूमर",,,ডিম্বাশয়ের সিস্ট এবং টিউমারের মধ্যে পার্থক্য কি?,"ডিম্বাশয়ের সিস্ট, টিউমারের",,,கருப்பை நீர்க்கட்டி மற்றும் கட்டிக்கு இடையிலான வேறுபாடு என்ன,"கருப்பை நீர்க்கட்டி, கட்டிக்கு ",,,అండాశయ తిత్తి మరియు కణితి మధ్య తేడా ఏమిటి?,"అండాశయ తిత్తి, కణితి",,,डिम्बग्रंथि सिस्ट आणि ट्यूमरमध्ये काय फरक आहे,"डिम्बग्रंथि सिस्ट ,ट्यूमर",,,અંડાશયના ફોલ્લો અને ગાંઠ વચ્ચે શું તફાવત છે,"અંડાશયના ફોલ્લો, ગાંઠ",,,disease
can you get rotavirus if you have had the immunization,rotavirus,immunization,,क्या रोटावायरस होता है यदि आपने टीकाकरण किया है?,रोटावायरस,टीकाकरण ,,আপনি যদি ইমিউনাইজেশন করে থাকেন তবে আপনি কি রোটাভাইরাস পেতে পারেন?,রোটাভাইরাস,ইমিউনাইজেশন,,நீங்கள் நோய்த்தடுப்பு செய்திருந்தால் ரோட்டா வைரஸைப் பெற முடியுமா?,ரோட்டா வைரஸை,நோய்த்தடுப்பு செய்திருந்தால்,,ఒకవేళ మీరు రోగనిరోధకత చేయించుకున్నట్లయితే మీరు రోటావైరస్ ని పొందగలరా?,రోటావైరస్,రోగనిరోధకత,,जर तुम्ही लसीकरण केले असेल तर तुम्हाला रोटाव्हायरस मिळू शकतो,रोटाव्हायरस,लसीकरण,,જો તમે રોગપ્રતિરક્ષા લીધી હોય તો શું તમે રોટાવાયરસ મેળવી શકો છો,રોટાવાયરસ,રસીકરણ,,disease
should i being seeing my dermatologist annually?,,,,क्या मुझे सालाना अपने त्वचा विशेषज्ञ को दिखाना चाहिए?,,,,আমার কি প্রতি বছর আমার চর্মরোগ বিশেষজ্ঞের সাথে দেখা করা উচিত?,,,,நான் ஆண்டுதோறும் என் தோல் மருத்துவரைப் பார்க்க வேண்டுமா?,,,,నేను ఏటా నా చర్మవ్యాధి నిపుణుడిని చూడాలా?,,,,मी दरवर्षी माझ्या त्वचारोग तज्ञांना भेटावे का?,,,,શું મારે વાર્ષિક મારા ત્વચારોગ વિજ્ઞાનીને મળવું જોઈએ?,,,,other
can eczema be a direct result from contact dermatitis caused by machine coolants,"Eczema, contact dermatitis",,,क्या एक्जिमा मशीन कूलेंट के कारण होने वाले कॉन्टैक्ट डर्मेटाइटिस का सीधा परिणाम हो सकता है?,"एक्जिमा, संपर्क जिल्द की सूजन",,,একজিমা মেশিন কুল্যান্ট দ্বারা সৃষ্ট যোগাযোগের ডার্মাটাইটিস থেকে সরাসরি ফলাফল হতে পারে?,"ডার্মাটাইটিস, একজিমা",,,இயந்திர குளிரூட்டிகளால் ஏற்படும் தொடர்பு தோல் அழற்சியின் நேரடி விளைவாக அரிக்கும் தோலழற்சி இருக்க முடியுமா?,"தொடர்பு தோல் அழற்சியின், அரிக்கும் தோலழற்சி",,,యంత్ర శీతలకరణి ల వల్ల కలిగే చర్మవాపు వల్ల తామర ప్రత్యక్ష ఫలితం కాగలదా?,"చర్మవాపు, తామర",,,एक्जिमा हा मशीन शीतलकांमुळे होणार्‍या संपर्क त्वचारोगाचा थेट परिणाम असू शकतो,"एक्जिमा ,संपर्क त्वचारोग",,,ખરજવું મશીન શીતક દ્વારા થતા સંપર્ક ત્વચાકોપનું સીધું પરિણામ હોઈ શકે છે,"ખરજવું, સંપર્ક ત્વચાકોપ",,,disease
i have problems with platelets i need a surgery to remove the spleen?,problems with platelets,,"surgery, remove spleen",मुझे प्लेटलेट्स की समस्या है मुझे प्लीहा निकालने के लिए सर्जरी की जरूरत है?,प्लेटलेट्स,,"शल्य चिकित्सा, तिल्ली हटाओ",আমার প্লেটলেটের সমস্যা আছে প্লীহা অপসারণের জন্য আমার একটি অস্ত্রোপচার প্রয়োজন?,প্লেটলেটের সমস্যা,,"অস্ত্রোপচার, প্লীহা অপসারণ","எனக்கு பிளேட்லெட்டுகளில் சிக்கல்கள் உள்ளன, மண்ணீரலை அகற்ற எனக்கு அறுவை சிகிச்சை தேவையா?",பிளேட்லெட்டுகளில்,,"மண்ணீரலை அகற்ற, அறுவை சிகிச்சை","నాకు ప్లేట్‌లెట్స్‌తో సమస్యలు ఉన్నాయి, ప్లీహాన్ని తొలగించడానికి నాకు శస్త్రచికిత్స అవసరమా?",ప్లేట్‌లెట్స్‌,,"శస్త్రచికిత్స, ప్లీహాన్ని తొలగించడం",मला प्लेटलेट्सची समस्या आहे मला प्लीहा काढून टाकण्यासाठी शस्त्रक्रिया आवश्यक आहे?,प्लेटलेट्स,,"शस्त्रक्रिया,काढून टाकणे",મને પ્લેટલેટ્સની સમસ્યા છે મને બરોળ દૂર કરવા માટે સર્જરીની જરૂર છે?,પ્લેટલેટ્સ,,"શસ્ત્રક્રિયા, બરોળ દૂર કરો",treatment plan
can depo-medrol treat poison ivy,poison ivy,depo-medrol,,डेपो-मेड्रोल जहर आइवी का इलाज कर सकते हैं?,बिच्छु का पौधा,डेपो-मेड्रोल,,ডেপো-মেড্রল কি বিষ আইভি চিকিৎসা করতে পারে?,বিষ আইভি,ডেপোমেড্রল,,டிப்போ-மெட்ரோல் விஷம் ஐவிக்கு சிகிச்சையளிக்க முடியுமா?,விஷம் ஐவிக்கு,டிப்போ-மெட்ரோல்,,"డెపో-మెడ్రోల్ , పాయిజన్ ఐవీకి చికిత్స చేయగలదా?",పాయిజన్ ఐవీ,డెపో-మెడ్రోల్,,डेपो-मेड्रोल पॉइझन आयव्हीवर उपचार करू शकते,पॉइझन आयव्ही,डेपो-मेड्रोल,,ડેપો-મેડ્રોલ પોઈઝન આઈવીની સારવાર કરી શકે છે,પોઈઝન આઇવિ,ડેપો-મેડ્રોલ,,drug
does losing weight help your penis grow?,losing weight,,,क्या वजन कम करने से आपके लिंग को बढ़ने में मदद मिलती है?,वेट घटना,,,ওজন হ্রাস করা কি আপনার লিঙ্গবৃদ্ধিতে সহায়তা করে?,ওজন হ্রাস,,,உடல் எடையை குறைப்பது உங்கள் ஆண்குறி வளர உதவுகிறதா?,எடையை குறைப்பது,,,బరువు తగ్గడం మీ పురుషాంగం పెరగడానికి సహాయపడుతుందా?,బరువు తగ్గడం,,,वजन कमी केल्याने तुमचे लिंग वाढण्यास मदत होते का?,वजन कमी करणे ,,,શું વજન ઓછું કરવાથી તમારા શિશ્નની વૃદ્ધિ થાય છે?,વજન ઘટાડવું,,,other
what are some tips for getting pregnant faster?,pregnant,,,तेजी से गर्भवती होने के लिए कुछ सुझाव क्या हैं?,गर्भवती,,,দ্রুত গর্ভবতী হওয়ার জন্য কিছু টিপস কী কী?,গর্ভবতী,,,வேகமாக கர்ப்பம் தரிப்பதற்கான சில உதவிக்குறிப்புகள் யாவை?,கர்ப்பம் ,,,త్వరగా గర్భం దాల్చడానికి కొన్ని చిట్కాలు ఏమిటి?,గర్భవతి,,,जलद गर्भवती होण्यासाठी काही टिपा काय आहेत?,गर्भवती,,,ઝડપથી ગર્ભવતી થવાની કેટલીક ટીપ્સ શું છે?,ગર્ભવતી,,,other
will lamisil tablets clear up eczema,Eczema,Lamisil tablets,,क्या लैमिसिल की गोलियां एक्जिमा को साफ कर देंगी?,खुजली,लैमिसिल की गोलियां,,ল্যামিসিল ট্যাবলেট কি একজিমা নিরাময় করবে?,একজিমা,ল্যামিসিল ট্যাবলেট,,லாமிசில் மாத்திரைகள் அரிக்கும் தோலழற்சியை அழிக்கும்,தோலழற்சியை ,லாமிசில் மாத்திரைகள்,,లామిసిల్ మాత్రలు తామర ను తొలగిస్తాయ?,తామర,లామిసిల్,,लॅमिसिल गोळ्या एक्जिमा दूर करतात, एक्जिमा,लॅमिसिल गोळ्या ,,લેમિસિલ ગોળીઓ ખરજવું દૂર કરશે,ખરજવું,લેમિસિલ ગોળીઓ,,drug
does l-lysine help with genital herpes?,genital herpes,L-lysine,,क्या एल-लाइसिन जननांग दाद के साथ मदद करता है?,जननांग परिसर्प,एल-लाइसिन,,এল-লাইসিন কি যৌনাঙ্গের হারপিসে সহায়তা করে?,যৌনাঙ্গের হারপিসে,এললাইসিন,,பிறப்புறுப்பு ஹெர்பெஸுக்கு எல்-லைசின் உதவுமா?,பிறப்புறுப்பு ஹெர்பெஸுக்கு,எல்-லைசின்,,జననేంద్రియ హెర్పెస్‌తో ఎల్-లైసిన్ సహాయపడుతుందా?,జననేంద్రియ హెర్పెస్‌,ఎల్-లైసిన్,,एल-लाइसिन जननेंद्रियाच्या नागीणांना मदत करते का?,जननेंद्रियाच्या नागीण,एल-लाइसिन,,શું એલ-લાયસિન જીની હર્પીસમાં મદદ કરે છે?,જીની હર્પીસ,એલ-લાયસિન,,drug
what can i do to stay satiated longer?,,,,मैं लंबे समय तक तृप्त रहने के लिए क्या कर सकता हूं?,,,,আরও বেশি সময় তৃপ্ত থাকার জন্য আমি কী করতে পারি?,,,,நீண்ட நேரம் திருப்திகரமாக இருக்க நான் என்ன செய்ய முடியும்?,,,,ఎక్కువ సేపు తృప్తిగా ఉండటానికి నేను ఏమి చేయగలను?,,,,जास्त वेळ तृप्त राहण्यासाठी मी काय करू शकतो?,,,,લાંબા સમય સુધી તૃપ્ત રહેવા માટે હું શું કરી શકું?,,,,other
what is nutritionval value of radishes?,,,,मूली का पोषण मूल्य क्या है?,,,,মূলার পুষ্টিগুণের মান কত?,,,,முள்ளங்கிகளின் ஊட்டச்சத்து மதிப்பு என்ன?,,,,ముల్లంగి యొక్క పోషకాహార విలువ ఎంత?,,,,मुळा चे पोषण मूल्य काय आहे?,,,,મૂળાનું પોષણ મૂલ્ય શું છે?,,,,other
how soon after eating something sweet does it affect your blood sugar level?,,,blood sugar,कुछ मीठा खाने के कितने समय बाद यह आपके ब्लड शुगर लेवल को प्रभावित करता है?,,,रक्त में शुगर ,মিষ্টি কিছু খাওয়ার কত তাড়াতাড়ি এটি আপনার রক্তে শর্করার মাত্রাকে প্রভাবিত করে?,,,রক্তে শর্করার মাত্রাকে,இனிப்பு ஏதாவது சாப்பிட்டவுடன் எவ்வளவு விரைவில் அது உங்கள் இரத்த சர்க்கரை அளவை பாதிக்கிறது?,,,இரத்த சர்க்கரை,ఏదైనా తీపిని తిన్న తరువాత అది మీ రక్తంలో చక్కెర స్థాయిని ఎంత త్వరగా ప్రభావితం చేస్తుంది?,,,రక్తంలో చక్కెర,गोड खाल्ल्यानंतर किती लवकर त्याचा तुमच्या रक्तातील साखरेवर परिणाम होतो?,,,रक्तातील साखर,મીઠી વસ્તુ ખાધા પછી તે તમારા બ્લડ સુગરના સ્તરને કેટલી વાર અસર કરે છે?,,,રક્ત ખાંડ,other
how can i get rid of dark acne scars?,acne scar,,,मैं काले मुंहासों के निशान से कैसे छुटकारा पा सकता हूं?,मुँहासा निशान,,,আমি কিভাবে গাঢ় ব্রণর দাগ থেকে মুক্তি পেতে পারি?,ব্রণর দাগ,,,இருண்ட முகப்பரு வடுக்களை நான் எவ்வாறு அகற்றுவது?,முகப்பரு வடுக்களை,,,నేను ముదురు మొటిమల మచ్చలను ఎలా వదిలించుకోగలను?,ముదురు మొటిమల మచ్చలను,,,मी गडद मुरुमांच्या डागांपासून कसे मुक्त होऊ शकतो?,मुरुमांचे डाग,,,હું ઘાટા ખીલના ડાઘથી કેવી રીતે છુટકારો મેળવી શકું?,ખીલના ડાઘ,,,disease
